ingredient_type,ingredient,moisture,ash_fm,cp_fm,adf_fm,ee_fm,true fat_fm,ndf_fm,me_fm,nel_fm,nem_fm,neg_fm,ms,ash,cp,adf,ee,true_fat,ndf,me,nel,nem,neg,de,eb,a
feed,rapeseed_meal_00_33_cp,11.60,6.90,33.00,,2.60,1.95,26.80,2270.00,1430.00,1540.00,1000.00,88.40,7.81,37.33,0.00,2.94,2.21,30.32,2567.87,1617.65,1742.08,1131.22,75.00,4521.22,rapeseed_meal_00_33_cp
feed,rapeseed_meal_00_36_cp,11.50,6.80,36.00,,2.20,1.65,25.10,2290.00,1445.00,1555.00,1010.00,88.50,7.68,40.68,0.00,2.49,1.86,28.36,2587.57,1632.77,1757.06,1141.24,,4551.30,No encontrado
feed,rapeseed_meal_00_expeller_7_3_ee,10.80,7.00,31.20,,7.30,6.57,26.90,2540.00,1620.00,1740.00,1160.00,89.20,7.85,34.98,0.00,8.18,7.37,30.16,2847.53,1816.14,1950.67,1300.45,,4777.67,No encontrado
feed,rapeseed_meal_00_expeller_12_7_ee,8.40,6.40,29.70,,12.70,10.16,26.30,2860.00,1850.00,1970.00,1350.00,91.60,6.99,32.42,0.00,13.86,11.09,28.71,3122.27,2019.65,2150.66,1473.80,,5095.35,No encontrado
feed,coprah_meal,9.10,5.80,20.80,,7.60,5.70,46.60,2670.00,1710.00,1830.00,1230.00,90.90,6.38,22.88,0.00,8.36,6.27,51.27,2937.29,1881.19,2013.20,1353.14,,4670.69,No encontrado
feed,coprah_expeller,9.00,6.30,21.40,,2.50,1.63,49.70,2390.00,1510.00,1625.00,1060.00,91.00,6.92,23.52,0.00,2.75,1.79,54.62,2626.37,1659.34,1785.71,1164.84,,4341.98,No encontrado
feed,sunflower_seed,4.40,3.20,16.40,,41.70,39.62,26.20,4350.00,2980.00,3110.00,2415.00,95.60,3.35,17.15,0.00,43.62,41.44,27.41,4550.21,3117.15,3253.14,2526.15,71.10,6692.72,sunflower_seed
feed,sunflower_seed_high_oileic,6.10,3.50,16.90,,41.10,39.05,26.10,4185.00,2850.00,2985.00,2300.00,93.90,3.73,18.00,0.00,43.77,41.58,27.80,4456.87,3035.14,3178.91,2449.41,,6697.08,No encontrado
feed,sunflower_meal_28_cp,10.60,6.00,28.00,,1.30,0.91,39.00,1965.00,1220.00,1325.00,820.00,89.40,6.71,31.32,0.00,1.45,1.02,43.62,2197.99,1364.65,1482.10,917.23,61.10,4395.93,sunflower_meal_28_cp
feed,sunflower_meal_32_cp,10.10,6.20,32.00,,1.20,0.84,35.20,2060.00,1285.00,1390.00,875.00,89.90,6.90,35.60,0.00,1.33,0.93,39.15,2291.43,1429.37,1546.16,973.30,61.10,4445.23,sunflower_meal_32_cp
feed,sunflower_meal_36_cp,9.60,6.40,36.00,,1.10,0.77,31.40,2165.00,1355.00,1465.00,930.00,90.40,7.08,39.82,0.00,1.22,0.85,34.73,2394.91,1498.89,1620.58,1028.76,,4493.98,No encontrado
feed,sunflower_meal_expeller_31_cp,5.50,7.00,31.00,,9.10,6.37,34.90,2650.00,1685.00,1810.00,1200.00,94.50,7.41,32.80,0.00,9.63,6.74,36.93,2804.23,1783.07,1915.34,1269.84,,4845.40,No encontrado
feed,sunflower_meal_expeller_34_cp,5.20,7.00,34.00,,8.50,5.95,32.70,2690.00,1715.00,1840.00,1225.00,94.80,7.38,35.86,0.00,8.97,6.28,34.49,2837.55,1809.07,1940.93,1292.19,61.10,4855.19,sunflower_meal_expeller_34_cp
feed,field_pea_spring,10.70,2.80,21.50,,1.00,0.80,12.10,2810.00,1820.00,1940.00,1330.00,89.30,3.14,24.08,0.00,1.12,0.90,13.55,3146.70,2038.07,2172.45,1489.36,,4425.89,No encontrado
