diet_tag,region,subregion,class_flex,ingredient,ingredient_share,ingredient_type
diet_dairy_calves_replacement,spain,south,,calcium_carbonate,4.46,concentrate
diet_dairy_calves_replacement,spain,south,,sodium_chloride_mine_92,0.84,concentrate
diet_dairy_calves_replacement,spain,south,,potassium_carbonate,0,concentrate
diet_dairy_calves_replacement,spain,south,,sodium_sulfate,0,concentrate
diet_dairy_calves_replacement,spain,south,,Vitamin/mineral_supplement,0,concentrate
diet_dairy_calves_replacement,spain,south,,mg_oxide_calcined_magnesite,0,concentrate
diet_dairy_calves_replacement,spain,south,,urea,1.36,concentrate
diet_dairy_calves_replacement,spain,south,,mixed_calcium_soaps,0,concentrate
diet_dairy_calves_replacement,spain,south,,straw_cereals_wheat_and_barley,5.9,forage
diet_dairy_calves_replacement,spain,south,,alfalfa_hay_first,0,forage
diet_dairy_calves_replacement,spain,south,,ryegrass_hay_second,82.5,forage
diet_dairy_calves_replacement,spain,south,,corn_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,south,,ryegrass_silage_second,0,forage
diet_dairy_calves_replacement,spain,south,,cereals_silage_wheat_barley_oat_triticale,0,forage
diet_dairy_calves_replacement,spain,south,,wheat_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,south,,barley_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,south,,oat_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,south,,triticale_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,south,,sorghum_silage_25_30,0,forage
diet_dairy_calves_replacement,spain,south,,alfalfa_silage,11.6,forage
diet_dairy_yearlings_replacement,spain,south,,corn_national,66.94,concentrate
diet_dairy_yearlings_replacement,spain,south,,corn_gluten_feed_20_5_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,barley_2_rows_national_11_3_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,wheat_soft_national_12_9_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,wheat_middlings_25_starch,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,soybean_meal_44_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,soybean_meal_47_cp,24.12,concentrate
diet_dairy_yearlings_replacement,spain,south,,soybean_hulls_12_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,rapeseed_meal_00_33_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,sunflower_meal_32_cp,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,oat_hulls,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,beet_pulp_4_ash,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,molasses_beet,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,cotton_seed_whole,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,brewers_grains,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,brewery_yeast,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,sodium_bicarbonate,2.74,concentrate
diet_dairy_yearlings_replacement,spain,south,,calcium_carbonate,3.36,concentrate
diet_dairy_yearlings_replacement,spain,south,,sodium_chloride_mine_92,1.26,concentrate
diet_dairy_yearlings_replacement,spain,south,,potassium_carbonate,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,sodium_sulfate,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,Vitamin/mineral_supplement,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,mg_oxide_calcined_magnesite,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,urea,1.59,concentrate
diet_dairy_yearlings_replacement,spain,south,,mixed_calcium_soaps,0,concentrate
diet_dairy_yearlings_replacement,spain,south,,straw_cereals_wheat_and_barley,9.4,forage
diet_dairy_yearlings_replacement,spain,south,,alfalfa_hay_first,0,forage
diet_dairy_yearlings_replacement,spain,south,,ryegrass_hay_second,79,forage
diet_dairy_yearlings_replacement,spain,south,,corn_silage_25_30,0,forage
diet_dairy_yearlings_replacement,spain,south,,ryegrass_silage_second,0,forage
