ingredient_type,ingredient,MS_pct,ASH_pct,CP_pct,EE_pct,NDF_pct,DE_pct,ED_kcalkg,swine_ME_kcal_kg,poultry_ME_kcal_kg
concentrate,triple_na_ca_mg_phosphate_hydrated,100,0,0,0,0,NA,4140,0,0
concentrate,mono_ammonium_phosphate,99.5,0,69.15,0,0,NA,5177.25,0,0
concentrate,mg_oxide_calcined_magnesite,100,0,0,0,0,0,4140,0,0
concentrate,anhydrous_magnesium_sulfate,99.5,0,0,0,0,NA,4140,0,0
concentrate,magnesium_sulfate_heptahydrate,100,0,0,0,0,NA,4140,0,0
concentrate,magnesium_chloride_hexahydrate,100,0,0,0,0,NA,4140,0,0
concentrate,magnesium_propionate_dihydrate,100,0,0,0,0,NA,4140,0,0
concentrate,sodium_chloride_marine,99.8,98.2,0,0,0,NA,-180.8,0,0
concentrate,sodium_chloride_mine_92,99.3,92.65,0,0,0,0,63.4,0,0
concentrate,sodium_chloride_mine_96,99.3,96.68,0,0,0,NA,-113.92,0,0
concentrate,sodium_chloride_mine_98,99.8,96.19,0,0,0,NA,-92.36,0,0
concentrate,sodium_bicarbonate,99.8,99.2,0,0,0,0,-224.8,0,0
concentrate,sodium_carbonate,99.2,99.8,0,0,0,NA,-251.2,0,0
concentrate,sodium_sulfate,99.8,99.2,0,0,0,0,-224.8,0,0
concentrate,urea,99,0.71,290.4,0,0,0,8464.76,0,0
concentrate,ammonium_sulphate,99.2,0,131.05,0,0,NA,6105.75,0,0
concentrate,ammonium_chloride,99.1,0.61,165.09,0,0,0,6589.51,0,0
concentrate,dl_methionine,99.5,0.5,58.69,0,0,NA,4998.35,5376.884422,4422.110553
concentrate,l_methionine,99.5,0.5,58.69,0,0,NA,4998.35,5376.884422,4422.110553
concentrate,sodium_dl_methionine_54,46,14.13,51.3,0,0,NA,4287.78,4652.173913,3826.086957
concentrate,methionine_hydroxy_analog,88,0,0,0,0,NA,4140,5659.090909,4431.818182
